city_name,federal_district,timezone,population,tourism_season
Москва,Центральный,UTC+3,12500000,Круглогодично
Санкт-Петербург,Северо-Западный,UTC+3,5400000,Май-Сентябрь
Сочи,Южный,UTC+3,400000,Май-Октябрь
Казань,Приволжский,UTC+3,1300000,Апрель-Октябрь
Новосибирск,Сибирский,UTC+7,1600000,Июнь-Август
Екатеринбург,Уральский,UTC+5,1500000,Май-Сентябрь
Иркутск,Сибирский,UTC+8,620000,Май-Сентябрь
Тольятти,Приволжский,UTC+0,662000,Круглогодично
