federal_district,avg_temperature,comfortable_cities,total_cities,avg_comfort,comfort_ratio,general_recommendation
Дальневосточный,-7.9495412844036695,24,109,42.9811320754717,22.0,Умеренно продавать
Приволжский,-1.4739130434782608,13,23,54.0,56.5,Умеренно продавать
Северо-Западный,-6.333333333333333,1,6,45.166666666666664,16.7,Умеренно продавать
Сибирский,-4.472727272727273,36,88,47.93181818181818,40.9,Умеренно продавать
Уральский,-5.16056338028169,30,71,43.46478873239437,42.3,Умеренно продавать
Центральный,0.8200000000000001,20,35,54.542857142857144,57.1,Умеренно продавать
